Row 1: ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path | Assigned To | State
Row 2: 26308260 | Test Case | [Shanghai Vendor][DC][Email] Eamil server |  |  |  | Intune\Mgmt\Device Configuration\DCv1 | Osborn Hou (Centific Technologies Inc) <v-osbornhou@microsoft.com> | Design
Row 3: 1 |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  |  |  | 
Row 4:  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  |  |  | 
Row 5:  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  |  |  | 
Row 6:  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  |  |  | 
Row 7:  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  |  |  | 
Row 8:  |  |  | 2 | Selected the "Eamil" in Profile and click the "Create" button. <NL>  |  <NL>  |  |  | 
Row 9:  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button. <NL>  |  <NL>  |  |  | 
Row 10:  |  |  | 4 | Add a value（eg：outlook.office365.com） in the Email Server  and click "Next" <NL>  |  <NL>  |  |  | 
Row 11:  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  |  |  | 
Row 12:  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  |  |  | 
Row 13:  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  |  |  | 
Row 14:  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  |  |  | 
Row 15:  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  |  |  | 
Row 16:  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  |  |  | 
Row 17:  |  |  | 6.1 | Open the "Settings" App |  <NL>  |  |  | 
Row 18:  |  |  | 6.2 | Click "Accounts" |  <NL>  |  |  | 
Row 19:  |  |  | 6.3 | Click "Access work or School" |  <NL>  |  |  | 
Row 20:  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  |  |  | 
Row 21:  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  |  |  | 
Row 22:  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  |  |  | 
Row 23:  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  |  |  | 
